unitprice,area,year,direction,decoration,bedroom,hall,lavatory,storey,totalstorey,elevator,property,far,parkinglot,greening,fee,admdist,secdist,subway,school,business,amenity
49822,42.2,23,1,3,1,1,1,低层,6,0,0,1.8,284,0.26,0.8,浦东,47038.57386,TRUE,TRUE,FALSE,FALSE
76552,87,18,1,3,2,2,1,低层,6,1,1,1.2,139,0.35,0.5,浦东,74209.62712,TRUE,TRUE,TRUE,FALSE
36000,125,13,1,3,3,2,2,低层,6,0,1,1.2,200,0.39,1.1,浦东,38719.82432,TRUE,FALSE,FALSE,FALSE
42774,98.2,3,1,3,2,2,1,高层,18,1,1,1.2,1529,0.35,0.8,浦东,35482.76437,TRUE,FALSE,TRUE,TRUE
29657,87.7,5,1,3,2,2,1,低层,16,1,1,1.8,781,0.4,2.8,浦东,27226.73846,TRUE,FALSE,TRUE,TRUE
94444,36,36,1,3,1,1,1,低层,6,1,1,1.8,200,0.3,0.8,浦东,95666.24138,TRUE,TRUE,TRUE,FALSE
45341,73,13,1,4,3,2,2,高层,6,1,1,1.7,300,0.3,1.2,浦东,50950.82051,TRUE,TRUE,TRUE,TRUE
63110,84,7,1,3,2,2,1,低层,6,1,1,1.4,850,0.45,1.85,浦东,52122.88281,TRUE,TRUE,TRUE,FALSE
83045,49.1,20,1,3,1,1,1,低层,6,0,1,1.8,800,0.44,1.5,浦东,50950.82051,FALSE,TRUE,TRUE,FALSE
36000,125,13,1,3,3,2,2,低层,6,0,1,1.2,200,0.39,1.1,浦东,38719.82432,TRUE,FALSE,FALSE,FALSE
55446,56,5,1,4,1,2,1,中层,14,1,1,1.5,200,0.35,1.1,浦东,50950.82051,TRUE,TRUE,TRUE,TRUE
45783,83,8,1,4,2,2,1,中层,15,1,1,1.6,200,0.35,0.9,浦东,52122.88281,TRUE,FALSE,TRUE,FALSE
36747,81.6,11,1,3,2,2,1,中层,14,0,1,1.3,750,0.31,1.3,浦东,35482.76437,FALSE,TRUE,TRUE,TRUE
40270,74,10,1,4,3,2,1,高层,6,0,1,1.9,217,0.38,0.5,浦东,38383.28,TRUE,TRUE,TRUE,TRUE
51437,89.4,8,1,3,2,2,1,高层,11,1,1,1.5,400,0.4,2.2,浦东,45311.86441,TRUE,TRUE,TRUE,TRUE
60640,80,9,1,4,2,2,1,中层,6,0,1,1.4,100,0.35,0.56,浦东,50950.82051,FALSE,FALSE,TRUE,TRUE
51685,89,4,1,3,3,2,2,低层,16,1,1,1.8,200,0.35,1.5,浦东,41074.30357,FALSE,FALSE,TRUE,FALSE
28652,89,4,1,1,2,2,1,中层,20,1,1,1.5,1289,0.35,2.3,浦东,27929.52083,TRUE,FALSE,TRUE,FALSE
46458,91.5,16,1,3,3,2,2,低层,6,0,1,1.5,300,0.4,0.8,浦东,50950.82051,TRUE,FALSE,FALSE,FALSE
28090,89,6,1,2,2,2,1,中层,20,1,1,1.5,1289,0.35,2.3,浦东,27929.52083,TRUE,TRUE,TRUE,TRUE
47533,61,19,1,3,1,1,1,高层,24,1,1,3.5,20,0.3,1,浦东,59073.26214,TRUE,TRUE,TRUE,FALSE
32239,86.9,21,1,3,2,2,1,高层,6,1,1,1.5,80,0.3,0.35,浦东,38383.28,TRUE,TRUE,TRUE,TRUE
50891,98.3,13,1,3,2,2,1,低层,12,1,1,2.3,100,0.35,1.5,浦东,41074.30357,TRUE,TRUE,TRUE,FALSE
42602,34.7,25,1,3,1,1,1,低层,6,0,1,1.9,200,0.28,0.5,浦东,50950.82051,TRUE,TRUE,FALSE,TRUE
34463,85.6,11,1,3,2,2,1,中层,6,0,1,1.5,1000,0.35,0.8,浦东,35482.76437,FALSE,TRUE,TRUE,TRUE
32051,78,10,1,2,2,2,1,低层,14,1,1,1.3,200,0.4,1,浦东,35482.76437,TRUE,TRUE,TRUE,TRUE
51171,111,17,1,2,2,2,1,低层,6,0,1,1.2,50,0.4,0.8,浦东,50950.82051,TRUE,TRUE,TRUE,TRUE
31977,86,3,1,3,2,2,1,中层,20,1,1,2.8,800,0.55,2.9,浦东,29870.67416,TRUE,TRUE,TRUE,FALSE
83045,49.1,20,1,3,1,1,1,低层,6,0,1,1.8,800,0.44,1.5,浦东,50950.82051,TRUE,TRUE,TRUE,FALSE
44706,85,25,1,3,2,2,1,中层,27,1,1,1.6,200,0.25,0.6,浦东,48258.65812,TRUE,FALSE,TRUE,TRUE
33199,119,4,1,1,3,2,2,低层,12,1,1,1.8,1089,0.36,1.24,浦东,45311.86441,TRUE,TRUE,TRUE,TRUE
38750,80,14,1,4,2,1,1,高层,6,0,1,1.7,1500,0.35,1.25,浦东,50950.82051,TRUE,FALSE,FALSE,FALSE
37586,95.8,19,1,3,3,2,2,高层,7,1,1,1.3,480,0.4,3.2,浦东,50950.82051,TRUE,FALSE,TRUE,TRUE
66617,107.3,14,1,3,3,2,1,低层,11,1,1,1.3,1500,0.45,1.55,浦东,51081.42308,TRUE,FALSE,TRUE,FALSE
32648,123.1,11,1,4,3,2,1,中层,14,1,1,1.5,1000,0.35,0.8,浦东,35482.76437,TRUE,TRUE,TRUE,TRUE
